rank,dma,zip,city,dmaname
1,501,6468,monroe,New York
1,501,6470,newtown,New York
1,501,6482,sandy hook,New York
1,501,6484,shelton,New York
1,501,6604,bridgeport,New York
1,501,6605,bridgeport,New York
1,501,6606,bridgeport,New York
1,501,6607,bridgeport,New York
1,501,6608,bridgeport,New York
1,501,6610,bridgeport,New York
1,501,6611,trumbull,New York
1,501,6612,easton,New York
1,501,6614,stratford,New York
1,501,6615,stratford,New York
1,501,6673,bridgeport,New York
1,501,6699,bridgeport,New York
1,501,6784,sherman,New York
1,501,6801,bethel,New York
1,501,6804,brookfield,New York
1,501,6807,cos cob,New York
1,501,6810,danbury,New York
1,501,6811,danbury,New York
1,501,6812,new fairfield,New York
1,501,6813,danbury,New York
1,501,6816,danbury,New York
1,501,6820,darien,New York
1,501,6824,fairfield,New York
1,501,6825,fairfield,New York
1,501,6828,fairfield,New York
1,501,6830,greenwich,New York
1,501,6831,greenwich,New York
1,501,6836,greenwich,New York
1,501,6838,greens farms,New York
1,501,6840,new canaan,New York
1,501,6850,norwalk,New York
1,501,6851,norwalk,New York
1,501,6852,norwalk,New York
1,501,6853,norwalk,New York
1,501,6854,norwalk,New York
1,501,6855,norwalk,New York
1,501,6856,norwalk,New York
1,501,6858,norwalk,New York
1,501,6860,norwalk,New York
1,501,6870,old greenwich,New York
1,501,6875,redding center,New York
1,501,6877,ridgefield,New York
1,501,6878,riverside,New York
1,501,6879,ridgefield,New York
1,501,6880,westport,New York
1,501,6881,westport,New York
1,501,6883,weston,New York
1,501,6889,westport,New York
1,501,6890,southport,New York
1,501,6896,redding,New York
1,501,6897,wilton,New York
1,501,6901,stamford,New York
1,501,6902,stamford,New York
1,501,6903,stamford,New York
1,501,6904,stamford,New York
1,501,6905,stamford,New York
1,501,6906,stamford,New York
1,501,6907,stamford,New York
1,501,6922,stamford,New York
1,501,6926,stamford,New York
1,501,6927,stamford,New York
1,501,7001,avenel,New York
1,501,7002,bayonne,New York
1,501,7003,bloomfield,New York
1,501,7004,fairfield,New York
1,501,7005,boonton,New York
1,501,7006,caldwell,New York
1,501,7007,caldwell,New York
1,501,7008,carteret,New York
1,501,7009,cedar grove,New York
1,501,7010,cliffside park,New York
1,501,7011,clifton,New York
1,501,7012,clifton,New York
1,501,7013,clifton,New York
1,501,7014,clifton,New York
1,501,7015,clifton,New York
1,501,7016,cranford,New York
