LATITUDE,LONGITUDE,nzip,DMA,DMA_NAME,czip
40.81518,-73.0455,501,501,NEW YORK,501
40.813296,-73.047623,544,501,NEW YORK,544
42.070743,-72.625036,1001,543,SPRINGFIELD-HOLYOKE,1001
42.37686,-72.46914,1002,543,SPRINGFIELD-HOLYOKE,1002
42.37686,-72.46914,1002,543,SPRINGFIELD-HOLYOKE,1002
42.403878,-72.52994,1003,543,SPRINGFIELD-HOLYOKE,1003
42.384405,-72.513652,1004,543,SPRINGFIELD-HOLYOKE,1004
42.433445,-72.114991,1005,506,BOSTON (MANCHESTER),1005
42.278884,-72.410245,1007,543,SPRINGFIELD-HOLYOKE,1007
42.143237,-72.930317,1008,532,ALBANY-SCHENECTADY-TROY,1008
42.143237,-72.930317,1008,543,SPRINGFIELD-HOLYOKE,1008
42.208811,-72.344817,1009,543,SPRINGFIELD-HOLYOKE,1009
42.11514,-72.20142,1010,543,SPRINGFIELD-HOLYOKE,1010
42.285109,-72.968333,1011,532,ALBANY-SCHENECTADY-TROY,1011
42.285109,-72.968333,1011,543,SPRINGFIELD-HOLYOKE,1011
42.285109,-72.968333,1011,543,SPRINGFIELD-HOLYOKE,1011
42.385904,-72.835131,1012,543,SPRINGFIELD-HOLYOKE,1012
42.163124,-72.605092,1013,543,SPRINGFIELD-HOLYOKE,1013
42.1759,-72.5731,1014,543,SPRINGFIELD-HOLYOKE,1014
42.175022,-72.572071,1020,543,SPRINGFIELD-HOLYOKE,1020
42.1759,-72.5731,1021,543,SPRINGFIELD-HOLYOKE,1021
42.19266,-72.55854,1022,543,SPRINGFIELD-HOLYOKE,1022
42.42786,-72.9003,1026,532,ALBANY-SCHENECTADY-TROY,1026
42.42786,-72.9003,1026,543,SPRINGFIELD-HOLYOKE,1026
42.29142,-72.71772,1027,543,SPRINGFIELD-HOLYOKE,1027
42.068216,-72.506148,1028,543,SPRINGFIELD-HOLYOKE,1028
42.158401,-73.042901,1029,532,ALBANY-SCHENECTADY-TROY,1029
42.071938,-72.673238,1030,543,SPRINGFIELD-HOLYOKE,1030
42.33426,-72.17604,1031,506,BOSTON (MANCHESTER),1031
42.4668,-72.83076,1032,543,SPRINGFIELD-HOLYOKE,1032
42.258959,-72.517751,1033,543,SPRINGFIELD-HOLYOKE,1033
42.08196,-72.95058,1034,543,SPRINGFIELD-HOLYOKE,1034
42.35989,-72.574175,1035,543,SPRINGFIELD-HOLYOKE,1035
42.063755,-72.431288,1036,543,SPRINGFIELD-HOLYOKE,1036
42.34998,-72.19998,1037,506,BOSTON (MANCHESTER),1037
42.38712,-72.61224,1038,543,SPRINGFIELD-HOLYOKE,1038
42.379521,-72.695022,1039,543,SPRINGFIELD-HOLYOKE,1039
42.379521,-72.695022,1039,543,SPRINGFIELD-HOLYOKE,1039
42.202683,-72.631112,1040,543,SPRINGFIELD-HOLYOKE,1040
42.20778,-72.61008,1041,543,SPRINGFIELD-HOLYOKE,1041
42.2757,-72.86328,1050,543,SPRINGFIELD-HOLYOKE,1050
42.2757,-72.86328,1050,543,SPRINGFIELD-HOLYOKE,1050
42.353058,-72.702327,1053,543,SPRINGFIELD-HOLYOKE,1053
42.47262,-72.48978,1054,543,SPRINGFIELD-HOLYOKE,1054
42.172924,-72.470571,1056,543,SPRINGFIELD-HOLYOKE,1056
42.097452,-72.323987,1057,543,SPRINGFIELD-HOLYOKE,1057
42.412864,-72.529562,1059,543,SPRINGFIELD-HOLYOKE,1059
42.33072,-72.67506,1060,543,SPRINGFIELD-HOLYOKE,1060
42.322725,-72.689925,1061,543,SPRINGFIELD-HOLYOKE,1061
42.32888,-72.69423,1062,543,SPRINGFIELD-HOLYOKE,1062
42.3178,-72.642525,1063,543,SPRINGFIELD-HOLYOKE,1063
42.40867,-72.625713,1066,543,SPRINGFIELD-HOLYOKE,1066
42.34393,-72.047392,1068,506,BOSTON (MANCHESTER),1068
42.167373,-72.317874,1069,543,SPRINGFIELD-HOLYOKE,1069
42.167373,-72.317874,1069,543,SPRINGFIELD-HOLYOKE,1069
42.53762,-72.933001,1070,543,SPRINGFIELD-HOLYOKE,1070
42.53762,-72.933001,1070,543,SPRINGFIELD-HOLYOKE,1070
42.169677,-72.863658,1071,543,SPRINGFIELD-HOLYOKE,1071
42.468887,-72.430332,1072,543,SPRINGFIELD-HOLYOKE,1072
42.224913,-72.724784,1073,543,SPRINGFIELD-HOLYOKE,1073
42.38537,-72.098398,1074,506,BOSTON (MANCHESTER),1074
42.25332,-72.5799,1075,543,SPRINGFIELD-HOLYOKE,1075
42.052067,-72.77003,1077,543,SPRINGFIELD-HOLYOKE,1077
42.189434,-72.329044,1079,543,SPRINGFIELD-HOLYOKE,1079
42.17956,-72.372466,1080,543,SPRINGFIELD-HOLYOKE,1080
42.059231,-72.228511,1081,543,SPRINGFIELD-HOLYOKE,1081
42.262888,-72.263621,1082,506,BOSTON (MANCHESTER),1082
42.262888,-72.263621,1082,543,SPRINGFIELD-HOLYOKE,1082
42.210107,-72.195675,1083,506,BOSTON (MANCHESTER),1083
42.407842,-72.886859,1084,543,SPRINGFIELD-HOLYOKE,1084
42.15636,-72.77874,1085,543,SPRINGFIELD-HOLYOKE,1085
42.1389,-72.756049,1086,543,SPRINGFIELD-HOLYOKE,1086
42.385946,-72.639531,1088,543,SPRINGFIELD-HOLYOKE,1088
42.116046,-72.639933,1089,543,SPRINGFIELD-HOLYOKE,1089
42.123217,-72.653054,1090,543,SPRINGFIELD-HOLYOKE,1090
42.2125,-72.191667,1092,506,BOSTON (MANCHESTER),1092
42.434457,-72.646746,1093,543,SPRINGFIELD-HOLYOKE,1093
42.351944,-72.140278,1094,506,BOSTON (MANCHESTER),1094
42.124106,-72.442683,1095,543,SPRINGFIELD-HOLYOKE,1095
42.397194,-72.745223,1096,543,SPRINGFIELD-HOLYOKE,1096
42.397194,-72.745223,1096,543,SPRINGFIELD-HOLYOKE,1096
42.163476,-72.837624,1097,543,SPRINGFIELD-HOLYOKE,1097
42.306355,-72.876186,1098,543,SPRINGFIELD-HOLYOKE,1098
42.09915,-72.5881,1101,543,SPRINGFIELD-HOLYOKE,1101
42.115033,-72.539045,1102,543,SPRINGFIELD-HOLYOKE,1102
42.102801,-72.590265,1103,543,SPRINGFIELD-HOLYOKE,1103
42.129896,-72.57462,1104,543,SPRINGFIELD-HOLYOKE,1104
42.099057,-72.578735,1105,543,SPRINGFIELD-HOLYOKE,1105
42.050213,-72.567587,1106,543,SPRINGFIELD-HOLYOKE,1106
42.120836,-72.605617,1107,543,SPRINGFIELD-HOLYOKE,1107
42.083255,-72.555813,1108,543,SPRINGFIELD-HOLYOKE,1108
42.117308,-72.549087,1109,543,SPRINGFIELD-HOLYOKE,1109
42.11733,-72.54793,1111,543,SPRINGFIELD-HOLYOKE,1111
42.10291,-72.59175,1115,543,SPRINGFIELD-HOLYOKE,1115
42.064444,-72.513056,1116,543,SPRINGFIELD-HOLYOKE,1116
42.093781,-72.527635,1118,543,SPRINGFIELD-HOLYOKE,1118
42.126547,-72.507913,1119,543,SPRINGFIELD-HOLYOKE,1119
